semantic_model,session_index,session_id,token_id,book_frame_index,local_receive_time,updates_since_prior_book,full_book_equal,bid_equal,ask_equal,best_bid_equal,best_ask_equal,bid_diff_levels,ask_diff_levels,absolute_size_error,rebootstrap_after_check
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2312,2026-09-13T00:07:36.263503+00:00,1,False,True,False,True,True,0,1,4957.60,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2322,2026-09-13T00:07:38.303757+00:00,8,False,False,False,True,True,2,1,82868.56,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2332,2026-09-13T00:07:41.439284+00:00,6,False,True,False,True,True,0,6,400453.79,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2335,2026-09-13T00:07:41.481603+00:00,1,False,True,False,True,True,0,1,4565.05,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2338,2026-09-13T00:07:41.510513+00:00,1,False,True,False,True,True,0,1,4167.46,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2346,2026-09-13T00:07:42.515516+00:00,6,False,False,False,True,True,2,2,75135.70,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2352,2026-09-13T00:07:46.739087+00:00,1,False,True,False,True,True,0,1,4162.14,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2354,2026-09-13T00:07:46.828735+00:00,1,False,True,False,True,True,0,1,3764.55,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2358,2026-09-13T00:07:46.899647+00:00,1,False,True,False,True,True,0,1,3657.07,True
DELTA,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2362,2026-09-13T00:07:48.743803+00:00,2,False,True,False,True,True,0,1,9302.36,True
