token_id,rest_local_receive_time,session_id,rest_best_bid,stream_best_bid,rest_best_ask,stream_best_ask,time_gap_ms,best_bid_equal,best_ask_equal,full_depth_equal,rest_hash,result,notes
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:05:48.129034+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.5,0.5,0.51,0.51,35101.3,True,True,True,b9d27b66453ea13ac8dae0b1c9e1a330b41fd9a1,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:05:48.231777+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.999,0.999,,,14556.3,True,True,True,0236e4a41e111b8d1438c2540a2747612aa1536a,MATCH,
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:05:48.334998+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.999,0.999,,,12731.6,True,True,True,c8f49d6f0c366b4b0e87ab78848cb004f6d16e8c,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:05:48.430277+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.27,0.27,0.28,0.28,2038.8,True,True,False,31e19425f195db86f2d289e1c942f6ae16341026,TOP_OF_BOOK_MATCH,
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:06:03.533364+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.5,0.5,0.51,0.51,10840.0,True,True,True,be671ad06d499236c560bab805c13b9530457939,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:06:03.628316+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.999,0.999,,,7596.7,True,True,True,3669010a9f0f204a7fa13214f3319d764b2e3399,MATCH,
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:06:03.724466+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.999,0.999,,,1688.4,True,True,True,77e2e395d9d7374fa4fe690e14a225718a6817de,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:06:03.822163+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.27,0.27,0.28,0.28,19.8,True,True,False,29d0ed99766c5d7f176f311c0c3791be7c160cbb,TOP_OF_BOOK_MATCH,
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:06:18.931319+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.5,0.5,0.51,0.51,26237.9,True,True,True,be671ad06d499236c560bab805c13b9530457939,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:06:19.034249+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.999,0.999,,,8931.4,True,True,True,bd1db906d955330990859b3f44aab251a7c27bb8,MATCH,
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:06:19.133914+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.999,0.999,,,17097.9,True,True,True,77e2e395d9d7374fa4fe690e14a225718a6817de,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:06:19.229539+00:00,090fbfdf-a61a-43bc-a83a-2463ccd61785,0.27,0.27,0.28,0.28,108.7,True,True,False,32ad74e0c56150013b3faf6afe3d1dd4cedb6e77,TOP_OF_BOOK_MATCH,
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:06:34.341370+00:00,,0.5,,0.51,,,,,,be671ad06d499236c560bab805c13b9530457939,NO_COMPARABLE_STREAM_STATE,REST observed outside any open session window
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:06:34.434452+00:00,,0.999,,,,,,,,01f32c376971b776615321e4607f441ac4763afe,NO_COMPARABLE_STREAM_STATE,REST observed outside any open session window
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:06:34.538007+00:00,,0.999,,,,,,,,68591da9503b48d0a80453411dcd1ce5fa3065e7,NO_COMPARABLE_STREAM_STATE,REST observed outside any open session window
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:06:34.636093+00:00,,0.28,,0.29,,,,,,d39bd73af37902e269e511ef6023c87bb40c3346,NO_COMPARABLE_STREAM_STATE,REST observed outside any open session window
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:06:49.744462+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.5,0.5,0.51,0.51,14108.5,True,True,True,be671ad06d499236c560bab805c13b9530457939,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:06:49.841462+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.999,0.999,,,14205.5,True,True,True,17b04cbda66aa9b1b9fa45292ddcd6254993b5af,MATCH,
